"Brewery_id","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State"
381,"1800 Big Log Wheat (2012)",1564,0.05,NA,"American Pale Wheat Ale",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"Double Play Pilsner",1541,NA,NA,"American Pilsner",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"Brewerhood Brown Ale",1321,0.055,NA,"American Brown Ale",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"Last Call Imperial Amber Ale",1320,0.08,NA,"American Amber / Red Ale",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"Pernicious Double IPA",1319,0.096,NA,"American Double / Imperial IPA",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"6-4-3 Double Play Pilsner",1303,0.052,NA,"German Pilsener",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"N Street Drive-In 50th Anniversary IPA",1025,NA,NA,"American Double / Imperial IPA",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"467 Ethan's Stout",1012,0.05,NA,"American Stout",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"1335 Wicked Snout",942,0.064,NA,"Saison / Farmhouse Ale",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"543 Skull Creek Fresh Hopped Pale Ale",937,0.045,NA,"American Pale Ale (APA)",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"1327 Pod's ESB",888,0.056,37,"Extra Special / Strong Bitter (ESB)",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"1327 Pod's ESB",886,0.056,37,"Extra Special / Strong Bitter (ESB)",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"1327 Pod's ESB",612,0.056,37,"Extra Special / Strong Bitter (ESB)",12,"Blue Blood Brewing Company","Lincoln"," NE"
381,"834 Happy As Ale",611,0.046,35,"American Pale Ale (APA)",12,"Blue Blood Brewing Company","Lincoln"," NE"
382,"Bermuda Triangle Ginger Beer",1554,0.045,NA,"Herbed / Spiced Beer",12,"Swashbuckler Brewing Company","Manheim"," PA"
383,"Full Nelson Pale Ale",1547,0.059,60,"American Pale Ale (APA)",12,"Blue Mountain Brewery","Afton"," VA"
383,"Steel Wheels ESB",1546,0.065,30,"Extra Special / Strong Bitter (ESB)",12,"Blue Mountain Brewery","Afton"," VA"
383,"Blue Mountain Classic Lager",1545,0.053,22,"Euro Pale Lager",12,"Blue Mountain Brewery","Afton"," VA"
383,"Full Nelson Pale Ale (2010)",119,0.059,60,"American Pale Ale (APA)",12,"Blue Mountain Brewery","Afton"," VA"
384,"Starr Pils",1544,0.042,20,"German Pilsener",12,"Starr Hill Brewery","Crozet"," VA"
384,"Northern Lights India Pale Ale",1205,0.065,52,"American IPA",16,"Starr Hill Brewery","Crozet"," VA"
384,"Festie",369,0.048,12,"Märzen / Oktoberfest",12,"Starr Hill Brewery","Crozet"," VA"
384,"Northern Lights India Pale Ale",368,0.065,52,"American IPA",12,"Starr Hill Brewery","Crozet"," VA"
385,"One Claw",1542,0.055,NA,"American Pale Ale (APA)",12,"Westbrook Brewing Company","Mt. Pleasant"," SC"
385,"Westbrook Gose",1312,0.04,5,"Gose",12,"Westbrook Brewing Company","Mt. Pleasant"," SC"
385,"White Thai",576,0.05,16,"Witbier",12,"Westbrook Brewing Company","Mt. Pleasant"," SC"
385,"Westbrook IPA",575,0.068,65,"American IPA",12,"Westbrook Brewing Company","Mt. Pleasant"," SC"
386,"Monkey Fist IPA",1539,0.069,65,"American IPA",12,"Shipyard Brewing Company","Portland"," ME"
386,"Shipyard Summer Ale",975,0.051,NA,"American Pale Wheat Ale",12,"Shipyard Brewing Company","Portland"," ME"
386,"Pumpkinhead Ale",814,0.047,NA,"Pumpkin Ale",12,"Shipyard Brewing Company","Portland"," ME"
386,"Shipyard Export",727,0.051,NA,"American Blonde Ale",12,"Shipyard Brewing Company","Portland"," ME"
387,"Stout Ol' Friend",1538,0.064,NA,"American Stout",16,"Revolution Brewing","Paonia"," CO"
387,"Stout Ol' Friend (2012)",1075,0.064,NA,"American Stout",16,"Revolution Brewing","Paonia"," CO"
387,"Rye Porter",710,NA,NA,"American Porter",16,"Revolution Brewing","Paonia"," CO"
387,"Miner's Gold",709,0.05,NA,"American Blonde Ale",16,"Revolution Brewing","Paonia"," CO"
387,"Vienna Lager",708,0.046,NA,"Vienna Lager",16,"Revolution Brewing","Paonia"," CO"
387,"Jessie's Garage",706,0.056,NA,"American Pale Ale (APA)",16,"Revolution Brewing","Paonia"," CO"
387,"Colorado Red Ale",220,0.062,NA,"American Amber / Red Ale",12,"Revolution Brewing","Paonia"," CO"
387,"Miner's Gold",219,NA,NA,"American Blonde Ale",12,"Revolution Brewing","Paonia"," CO"
388,"Undun Blonde Ale",1537,0.053,NA,"American Blonde Ale",16,"Natian Brewery","Portland"," OR"
388,"CuDa Cascadian Dark Ale",1536,0.074,NA,"American Black Ale",16,"Natian Brewery","Portland"," OR"
388,"Old Grogham Imperial India Pale Ale",1265,0.085,86,"American Double / Imperial IPA",16,"Natian Brewery","Portland"," OR"
388,"Old Grogham Imperial India Pale Ale (2012)",747,0.085,86,"American Double / Imperial IPA",16,"Natian Brewery","Portland"," OR"
388,"CuDa Cascadian Dark Ale (2012)",746,0.074,NA,"American Black Ale",16,"Natian Brewery","Portland"," OR"
388,"Undun Blonde Ale (2012)",654,0.053,NA,"American Blonde Ale",16,"Natian Brewery","Portland"," OR"
389,"Kentucky Kölsch",1535,0.043,NA,"Kölsch",16,"Alltech's Lexington Brewing Company","Lexington"," KY"
389,"Kentucky IPA",1149,0.065,NA,"American IPA",16,"Alltech's Lexington Brewing Company","Lexington"," KY"
390,"G'KNIGHT",1533,0.087,85,"American Double / Imperial IPA",12,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
390,"Ten Fidy",1532,0.099,98,"Russian Imperial Stout",12,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
390,"Deviant Dale's IPA",1328,0.08,85,"American Double / Imperial IPA",16,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
390,"Old Chub",1175,0.08,35,"Scottish Ale",12,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
390,"Dale's Pale Ale",1166,0.065,65,"American Pale Ale (APA)",19.2,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
390,"Dale's Pale Ale",1065,0.065,65,"American Pale Ale (APA)",12,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
391,"Clem's Gold",1530,0.053,NA,"American Pale Lager",16,"Orlison Brewing Company","Airway Heights"," WA"
391,"Lizzy's Red",1529,0.055,NA,"American Amber / Red Lager",16,"Orlison Brewing Company","Airway Heights"," WA"
391,"Orlison India Pale Lager",1528,0.067,NA,"American Pale Lager",16,"Orlison Brewing Company","Airway Heights"," WA"
391,"Brünette",1527,0.042,NA,"Euro Dark Lager",16,"Orlison Brewing Company","Airway Heights"," WA"
391,"Havanüther",1526,0.041,NA,"Light Lager",16,"Orlison Brewing Company","Airway Heights"," WA"
392,"Agave Wheat",1522,0.042,9,"American Pale Wheat Ale",12,"Breckenridge Brewery","Denver"," CO"
392,"SummerBright Ale",397,0.045,15,"American Pale Wheat Ale",12,"Breckenridge Brewery","Denver"," CO"
392,"Lucky U IPA",193,0.062,68,"American IPA",12,"Breckenridge Brewery","Denver"," CO"
392,"Avalanche Ale",83,0.054,19,"American Amber / Red Ale",12,"Breckenridge Brewery","Denver"," CO"
393,"Saison 88",1519,0.055,30,"Saison / Farmhouse Ale",12,"Santa Fe Brewing Company","Santa Fe"," NM"
393,"Black IPA",967,0.071,95,"American Black Ale",12,"Santa Fe Brewing Company","Santa Fe"," NM"
393,"Santa Fe Irish Red Ale",599,0.045,NA,"Irish Red Ale",12,"Santa Fe Brewing Company","Santa Fe"," NM"
393,"Santa Fe Oktoberfest",307,NA,NA,"Märzen / Oktoberfest",12,"Santa Fe Brewing Company","Santa Fe"," NM"
393,"Imperial Java Stout",305,0.08,NA,"Russian Imperial Stout",12,"Santa Fe Brewing Company","Santa Fe"," NM"
393,"Freestyle Pilsner",304,0.055,NA,"German Pilsener",12,"Santa Fe Brewing Company","Santa Fe"," NM"
393,"Happy Camper IPA",217,0.066,NA,"American IPA",12,"Santa Fe Brewing Company","Santa Fe"," NM"
394,"Shark Bait",1508,0.053,11,"Fruit / Vegetable Beer",12,"Miami Brewing Company","Miami"," FL"
394,"Gator Tail Brown Ale",1507,0.053,30,"American Brown Ale",12,"Miami Brewing Company","Miami"," FL"
394,"Miami Vice IPA",1506,0.071,62,"American IPA",12,"Miami Brewing Company","Miami"," FL"
394,"Big Rod Coconut Ale",1325,0.053,16,"American Blonde Ale",12,"Miami Brewing Company","Miami"," FL"
395,"Oak Aged Cider",1503,0.065,NA,"Cider",12,"Schilling & Company","Seattle"," WA"
395,"Ginger Cider",1466,0.065,NA,"Cider",12,"Schilling & Company","Seattle"," WA"
395,"Schilling Hard Cider",1245,0.065,NA,"Cider",12,"Schilling & Company","Seattle"," WA"
396,"Green House India Pale Ale",1501,0.07,NA,"American IPA",12,"Hops & Grain Brewery","Austin"," TX"
396,"The One They Call Zoe",1004,0.051,NA,"American Pale Lager",12,"Hops & Grain Brewery","Austin"," TX"
396,"Alteration",502,0.051,40,"Altbier",12,"Hops & Grain Brewery","Austin"," TX"
396,"Pale Dog",501,0.06,50,"American Pale Ale (APA)",12,"Hops & Grain Brewery","Austin"," TX"
397,"Super G IPA",1498,0.06,NA,"American IPA",16,"White Flame Brewing Company","Hudsonville"," MI"
398,"1881 California Red",1479,0.056,35,"American Amber / Red Ale",12,"Ruhstaller Beer Company","Sacramento"," CA"
398,"CAPT Black IPA",1478,0.073,55,"American Black Ale",12,"Ruhstaller Beer Company","Sacramento"," CA"
398,"Ruhstaller's Gilt Edge Lager Beer",1370,0.048,42,"American Amber / Red Lager",12,"Ruhstaller Beer Company","Sacramento"," CA"
398,"CAPT Black IPA",883,0.073,55,"American Black Ale",16,"Ruhstaller Beer Company","Sacramento"," CA"
398,"1881 California Red Ale",882,0.056,35,"American Amber / Red Ale",16,"Ruhstaller Beer Company","Sacramento"," CA"
399,"Oval Beach Blonde Ale",1477,0.05,11,"American Blonde Ale",16,"Saugatuck Brewing Company","Douglas"," MI"
400,"Squeaky Bike Nut Brown Ale",1476,0.04,NA,"American Brown Ale",16,"Moab Brewery","Moab"," UT"
400,"Dead Horse Amber",902,0.04,NA,"American Pale Wheat Ale",16,"Moab Brewery","Moab"," UT"
400,"Rocket Bike American Lager",645,0.04,NA,"California Common / Steam Beer",16,"Moab Brewery","Moab"," UT"
400,"Johnny's American IPA",644,0.04,NA,"American IPA",16,"Moab Brewery","Moab"," UT"
401,"Macon Progress Ale",1475,0.05,NA,"American Pale Ale (APA)",12,"Macon Beer Company","Macon"," GA"
401,"Macon History Ale",1008,0.055,NA,"American Brown Ale",12,"Macon Beer Company","Macon"," GA"
402,"Dusty Trail Pale Ale",1474,0.054,NA,"American Pale Ale (APA)",16,"Amnesia Brewing Company","Washougal"," WA"
402,"Damnesia",1473,0.062,NA,"American IPA",16,"Amnesia Brewing Company","Washougal"," WA"
402,"Desolation IPA",837,0.062,43,"American IPA",16,"Amnesia Brewing Company","Washougal"," WA"
403,"Wolverine Premium Lager",1468,0.047,15,"American Pale Lager",12,"Wolverine State Brewing Company","Ann Arbor"," MI"
404,"Happy Cider",1467,0.055,NA,"Cider",16,"Red Tank Cider Company","Bend"," OR"
405,"Granny Smith Hard Apple Cider",1465,0.069,NA,"Cider",16,"Cascadia Ciderworks United","Portland"," OR"
405,"Dry Hard Apple Cider",1464,0.069,NA,"Cider",16,"Cascadia Ciderworks United","Portland"," OR"
406,"Sudice American Stout",1455,0.07,58,"American Stout",16,"Fate Brewing Company","Boulder"," CO"
406,"Parcae Belgian Style Pale Ale",1454,0.05,20,"Belgian Pale Ale",16,"Fate Brewing Company","Boulder"," CO"
406,"Norns Roggenbier",1453,0.05,20,"Roggenbier",16,"Fate Brewing Company","Boulder"," CO"
406,"Laimas Kölsch Style Ale",1452,0.05,20,"Kölsch",16,"Fate Brewing Company","Boulder"," CO"
406,"Moirai India Pale Ale",1451,0.07,70,"American IPA",16,"Fate Brewing Company","Boulder"," CO"
407,"Lazy Monk Bohemian Pilsner",1445,0.05,NA,"Czech Pilsener",16,"Lazy Monk Brewing","Eau Claire"," WI"
408,"Blown Out Brown",1441,0.052,NA,"American Brown Ale",12,"Bitter Root Brewing","Hamilton"," MT"
408,"Single Hop Ale",1413,0.063,NA,"American Pale Ale (APA)",12,"Bitter Root Brewing","Hamilton"," MT"
408,"Sawtooth Ale",1411,0.054,NA,"American Blonde Ale",12,"Bitter Root Brewing","Hamilton"," MT"
409,"Pub Beer",1436,0.05,NA,"American Pale Lager",12,"10 Barrel Brewing Company","Bend"," OR"
410,"Hat Trick Hop IPA",1433,0.068,NA,"American IPA",16,"Tamarack Brewing Company","Lakeside"," MT"
410,"Yard Sale Amber Ale",1432,0.056,NA,"American Amber / Red Ale",16,"Tamarack Brewing Company","Lakeside"," MT"
411,"Weiss Trash Culture",1417,0.034,6,"Berliner Weissbier",12,"New England Brewing Company","Woodbridge"," CT"
411,"Sea Hag IPA",885,0.062,NA,"American IPA",12,"New England Brewing Company","Woodbridge"," CT"
411,"Elm City Pilsner",884,0.05,NA,"American Pilsner",12,"New England Brewing Company","Woodbridge"," CT"
411,"Atlantic Amber Ale (2004)",757,0.05,NA,"American Amber / Red Ale",12,"New England Brewing Company","Woodbridge"," CT"
411,"668 Neighbor of the Beast12 oz.",568,0.09,NA,"Belgian Pale Ale",12,"New England Brewing Company","Woodbridge"," CT"
411,"Gandhi-Bot Double IPA (12 oz.)",320,0.088,85,"American Double / Imperial IPA",12,"New England Brewing Company","Woodbridge"," CT"
411,"668 Neighbor of the Beast (16 oz.) (2010)",43,0.09,NA,"Belgian Pale Ale",16,"New England Brewing Company","Woodbridge"," CT"
411,"Gandhi-Bot Double IPA (16 oz.) (2010)",42,0.088,85,"American Double / Imperial IPA",16,"New England Brewing Company","Woodbridge"," CT"
411,"Elm City Lager (2007)",41,0.05,NA,"American Pilsner",12,"New England Brewing Company","Woodbridge"," CT"
411,"Atlantic Amber Ale (2007)",40,0.05,NA,"American Amber / Red Ale",12,"New England Brewing Company","Woodbridge"," CT"
411,"Sea Hag IPA (Current)",39,0.062,NA,"American IPA",12,"New England Brewing Company","Woodbridge"," CT"
412,"Dry Cider",1416,0.065,NA,"Cider",16,"Seattle Cider Company","Seattle"," WA"
412,"Dry Hard Cider",1415,0.065,NA,"Cider",16,"Seattle Cider Company","Seattle"," WA"
413,"Sand Island Lighthouse",1410,0.051,25,"Kölsch",12,"Straight to Ale","Huntsville"," AL"
413,"Lily Flagg Milk Stout",925,0.05,30,"Milk / Sweet Stout",12,"Straight to Ale","Huntsville"," AL"
413,"Monkeynaut IPA",637,0.072,70,"American IPA",12,"Straight to Ale","Huntsville"," AL"
414,"Heavy Machinery IPA Series #1: Heavy Fist",1409,0.07,NA,"American Black Ale",16,"Austin Beerworks","Austin"," TX"
414,"Fire Eagle IPA",343,0.062,NA,"American IPA",12,"Austin Beerworks","Austin"," TX"
414,"Peacemaker",342,0.051,NA,"American Pale Ale (APA)",12,"Austin Beerworks","Austin"," TX"
414,"Pearl-Snap",341,0.053,NA,"German Pilsener",12,"Austin Beerworks","Austin"," TX"
414,"Black Thunder",340,0.052,NA,"Schwarzbier",12,"Austin Beerworks","Austin"," TX"
415,"Kölsch 151",1408,0.049,16,"Kölsch",12,"Blue Mountain Brewery","Arrington"," VA"
416,"Tybee Island Blonde",1407,0.047,17,"American Blonde Ale",12,"Coastal Empire Beer Company","Savannah"," GA"
416,"Savannah Brown Ale",1406,0.062,55,"American Brown Ale",12,"Coastal Empire Beer Company","Savannah"," GA"
417,"Helen's Blend",1405,0.05,NA,"Cider",12,"Jack's Hard Cider (Hauser Estate...","Biglerville"," PA"
417,"Jack's Hard Cider",823,0.051,NA,"Cider",12,"Jack's Hard Cider (Hauser Estate...","Biglerville"," PA"
418,"Hazed & Infused",1395,0.049,35,"American Pale Ale (APA)",12,"Boulder Beer Company","Boulder"," CO"
418,"Hoopla Pale Ale",808,0.057,35,"American Pale Ale (APA)",12,"Boulder Beer Company","Boulder"," CO"
418,"Hazed & Infused (2010)",81,0.049,35,"American Pale Ale (APA)",12,"Boulder Beer Company","Boulder"," CO"
419,"Cascadian Dark Ale",1393,0.06,75,"American Black Ale",12,"Coalition Brewing Company","Portland"," OR"
419,"Wheat the People",893,0.044,13,"American Pale Wheat Ale",16,"Coalition Brewing Company","Portland"," OR"
420,"Sanitas Saison Ale",1392,0.058,20,"Saison / Farmhouse Ale",12,"Sanitas Brewing Company","Boulder"," CO"
420,"Sanitas Black IPA",1391,0.068,65,"American Black Ale",12,"Sanitas Brewing Company","Boulder"," CO"
421,"Beaver Logger",1383,0.052,19,"American Pale Lager",12,"Gore Range Brewery","Edwards"," CO"
422,"Nectar of the Hops",1375,0.08,NA,"Mead",16,"Redstone Meadery","Boulder"," CO"
422,"Sunshine Nectar",1374,0.08,NA,"Mead",16,"Redstone Meadery","Boulder"," CO"
422,"Black Raspberry Nectar",1373,0.08,NA,"Mead",16,"Redstone Meadery","Boulder"," CO"
423,"Yellow Collar",1372,0.059,NA,"Mead",12,"Blue Dog Mead","Eugene"," OR"
423,"Green Collar",1371,0.059,NA,"Mead",12,"Blue Dog Mead","Eugene"," OR"
424,"Grazias",1351,0.063,30,"Cream Ale",16,"Hess Brewing Company","San Diego"," CA"
424,"Habitus IPA",1346,0.08,86,"American IPA",16,"Hess Brewing Company","San Diego"," CA"
424,"Ex Umbris Rye Imperial Stout",904,0.099,85,"American Double / Imperial Stout",16,"Hess Brewing Company","San Diego"," CA"
425,"Patty's Chile Beer",1345,0.042,NA,"Chile Beer",12,"Wynkoop Brewing Company","Denver"," CO"
425,"Colorojo Imperial Red Ale",1316,0.082,NA,"American Strong Ale",12,"Wynkoop Brewing Company","Denver"," CO"
425,"Wynkoop Pumpkin Ale",1045,0.055,NA,"Pumpkin Ale",12,"Wynkoop Brewing Company","Denver"," CO"
425,"Rocky Mountain Oyster Stout",1035,0.075,NA,"American Stout",12,"Wynkoop Brewing Company","Denver"," CO"
425,"Belgorado",928,0.067,45,"Belgian IPA",12,"Wynkoop Brewing Company","Denver"," CO"
425,"Rail Yard Ale",807,0.052,NA,"American Amber / Red Ale",12,"Wynkoop Brewing Company","Denver"," CO"
425,"B3K Black Lager",620,0.055,NA,"Schwarzbier",12,"Wynkoop Brewing Company","Denver"," CO"
425,"Silverback Pale Ale",145,0.055,40,"American Pale Ale (APA)",12,"Wynkoop Brewing Company","Denver"," CO"
425,"Rail Yard Ale (2009)",84,0.052,NA,"American Amber / Red Ale",12,"Wynkoop Brewing Company","Denver"," CO"
426,"First Press",1342,0.05,NA,"Cider",12,"Ciderboys","Stevens Point"," WI"
426,"Magic Apple",1341,0.05,NA,"Cider",12,"Ciderboys","Stevens Point"," WI"
427,"Quakertown Stout",1333,0.092,50,"American Double / Imperial Stout",12,"Armadillo Ale Works","Denton"," TX"
427,"Greenbelt Farmhouse Ale",1332,0.051,20,"Saison / Farmhouse Ale",12,"Armadillo Ale Works","Denton"," TX"
428,"Track 1 Amber Lager",1330,0.045,NA,"American Amber / Red Lager",16,"Roanoke Railhouse Brewery","Roanoke"," VA"
429,"Schlafly Yakima Wheat Ale",1324,0.05,45,"American Pale Wheat Ale",12,"Schlafly Brewing Company","Saint Louis"," MO"
429,"Schlafly Black Lager",1323,0.05,NA,"Schwarzbier",12,"Schlafly Brewing Company","Saint Louis"," MO"
429,"Schlafly IPA",1078,0.045,30,"American IPA",12,"Schlafly Brewing Company","Saint Louis"," MO"
429,"Schlafly American Brown Ale",1077,0.05,30,"American Brown Ale",12,"Schlafly Brewing Company","Saint Louis"," MO"
429,"Schlafly Hefeweizen",588,0.041,16,"Hefeweizen",12,"Schlafly Brewing Company","Saint Louis"," MO"
429,"Schlafly Summer Lager",53,0.045,17,"Munich Helles Lager",12,"Schlafly Brewing Company","Saint Louis"," MO"
430,"Green Bullet Organic India Pale Ale",1322,0.07,45,"American IPA",16,"Asher Brewing Company","Boulder"," CO"
431,"Face Plant IPA",1309,0.062,65,"American IPA",12,"Lost Rhino Brewing Company","Ashburn"," VA"
431,"Rhino Chasers Pilsner",1308,0.056,55,"Czech Pilsener",12,"Lost Rhino Brewing Company","Ashburn"," VA"
432,"Paleo IPA",1307,0.06,NA,"English India Pale Ale (IPA)",12,"North Country Brewing Company","Slippery Rock"," PA"
432,"Buck Snort Stout",1306,0.061,NA,"American Stout",12,"North Country Brewing Company","Slippery Rock"," PA"
432,"Station 33 Firehouse Red",1305,0.055,NA,"Irish Red Ale",12,"North Country Brewing Company","Slippery Rock"," PA"
432,"Slimy Pebble Pils",1304,0.045,NA,"German Pilsener",12,"North Country Brewing Company","Slippery Rock"," PA"
433,"Blur India Pale Ale",1302,0.074,60,"American IPA",12,"Seabright Brewery","Santa Cruz"," CA"
434,"Gateway Kolsch Style Ale",1300,0.053,32,"Kölsch",12,"French Broad Brewery","Asheville"," NC"
434,"Wee-Heavy-Er Scotch Ale",1260,0.07,24,"Scotch Ale / Wee Heavy",12,"French Broad Brewery","Asheville"," NC"
434,"13 Rebels ESB",1259,0.052,42,"Extra Special / Strong Bitter (ESB)",12,"French Broad Brewery","Asheville"," NC"
